cod_ibge,nome,mesorregiao,microrregiao,regiao_imediata,regiao_intermediaria
2607802,Itaquitinga,Mata Pernambucana,Mata Setentrional Pernambucana,Goiana - Timbaúba,Recife
2607901,Jaboatão dos Guararapes,Metropolitana de Recife,Recife,Recife,Recife
2607950,Jaqueira,Mata Pernambucana,Mata Meridional Pernambucana,Palmares,Recife
2608008,Jataúba,Agreste Pernambucano,Vale do Ipojuca,Caruaru,Caruaru
2608057,Jatobá,São Francisco Pernambucano,Itaparica,Serra Talhada,Serra Talhada
2608107,João Alfredo,Agreste Pernambucano,Médio Capibaribe,Limoeiro,Recife
2608206,Joaquim Nabuco,Mata Pernambucana,Mata Meridional Pernambucana,Palmares,Recife
2608255,Jucati,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
2608305,Jupi,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
2608404,Jurema,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
2608453,Lagoa do Carro,Mata Pernambucana,Mata Setentrional Pernambucana,Carpina,Recife
2608503,Lagoa de Itaenga,Mata Pernambucana,Mata Setentrional Pernambucana,Carpina,Recife
2608602,Lagoa do Ouro,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
2608701,Lagoa dos Gatos,Agreste Pernambucano,Brejo Pernambucano,Caruaru,Caruaru
2608750,Lagoa Grande,São Francisco Pernambucano,Petrolina,Petrolina,Petrolina
2608800,Lajedo,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
